no,src,tgt,basic_ingredient
2784,bandeng kuah kuning,"1 ekor ikan bandeng  ( 500 gram )  || 2 ruas laos dimemarkan || 1 buah serai dimemarkan || 4 buah cabe hijau besar potong || 2 buah tomat potong || bumbu yang dihaluskan || 8 buah bawang merah || 5 siung bawang putih || 5 buah kemiri || 1 ruas jahe || 1 ruas kunyit || secukupnya garam ,  gula ,  penyedap rasa || secukupnya air || secukupnya minyak || ",ikan
8886,sayur usus tahu petai nyemek2,250 gr usus bersih || 5 buah tahu mentah || 2 batang petai || 6 bawang merah || 3 bawang putih || 15 cabe rawit || 2 cabe merah || lengkuas || garam || gula || penyedap rasa || 1 bgks santan bubuk || ,tahu
9787,sayur obor daun katuk + teri+telur,1 ikat daun katuk || 4 butir telur || ikan teri tanjung || 5 buah bawang merah || 1 siung bawang putih || 20 buah cabe rawit || lengkuas ujung jari geprek || santan || 2 lembar daun salam || ,telur
2518,dori teriyaki (easy n simple),1 fillet ikan dori || 1 / 2 bawang bombay  ( klo uk kecil pakai 1 ya )  || 1 / 2 paprika hijau uk besar || 1 buah bawang putih || 3 sdm tepung bumbu serbaguna || 1 sdm kecap manis || 3 sdm saus teriyaki || 1 sdm saus tiram || 1 sdt saus tomat || 1 sdm mentega untuk menumis || 1 sdt maizena || garam secukupunya || secukupnya kaldu bubuk || secukupnya air matang || ,ikan
6681,tongseng sapi,"1 / 4 kg daging sapi  ( rebus sampai matang lalu potong dadu )  || 1 buah tomat sedang || 1 daun bawang || 4 helai kol || 1 ruas lengkuas ,  geprek || 1 btg serai ,  geprek || 3 lembar daun jeruk || 1 lembar daun salam || 1 sdm kecap manis || secukupnya gula ,  garam ,  kaldu bubuk || bumbu halus  :  || 4 siung bawang merah || 2 siung bawang putih || 1 ruas jahe || 1 cm kunyit || 1 sdt ketumbar || 1 sdt lada bubuk || ",sapi
9847,telur masak tomat,"bahan di kocok  :  || 4 butir telur || secukupnya lada bubuk || 1 / 4 sdt minyak wijen || bahan di tumis  :  || 4 bawang putih ,  cincang kasar || 4 cabe rawit ,  cincang  ( optional )  || 2 buah tomat merah besar ,  potong2 kasar || 100 ml air || secukupnya kaldu bubuk  &  lada bubuk || ",telur
9578,tumis tahu toge sawi hijau,"2 ikat sawi hijau || 3 buah tahu kuning || toge seharga rp .  2000 ,  ||  - 1 sdt gula pasir || 1 sdm saus tiram || 5 siung bawang merah || 2 siung bawang putih || 7 buah rawit merah || 1 / 2 buah tomat || secukupnya penyedap rasa  ( saya masako ayam )  || secukupnya air || minyak goreng || ",tahu
8070,tahu aci asik,14 biji tahu kuning || 2 siung bawang putih || 1500 daun bawang beli di pasar || garam || sejumput ketumbar || royco || minyak goreng || 1 biji wortel ukuran sedang || 3 sdm tepung beras || 2 sdm tepung sagu || ,tahu
12004,tempe jeletot #11,1 tempe || minyak || bahan isi  :  || 15 cabai keriting ijo / merah || 5 rawit || 3 bawang merah || 3 bawang putih || 1 tomat kecil  ( boleh skip )  || 1 bks terasi abc || gula || garam || penyedap rasa || adonan  :  || 1 / 4 kg tepung terigu || 2 bawang putih || sedikit kunyit || garam || penyedap rasa || air || ,tempe
2917,pindang bandeng,2 ekor ikan bandeng basah  ( aq pake bndeng super )  || 2 biji bawang putih || 5 biji bawang merah || 2 cm ruas jahe || 2 cm ruas kunyit || 3 cm ruas laos || 1 batang sereh || 3 lmbar daun salam || 20 buah cabai rawit jawa || 1 keping gula merah || 3 buah asam jawa || 1 / 2 sendok garam || 2 sendok kecap manis || 1 bngkus penyedap rasa || ,ikan
6447,terik daging sapi campur tahu,500 gram daging sapi || 20 biji tahu kecil || santan kental dan encer dari 1 butir kelapa || bumbu  :  || 6 siung bawang merah || 8 siung bawang putih || 1 sdm ketumbar sangrai || 1 sdt jinten sangrai || 6 butir kemiri goreng || 1 sdt mrica butir || 1 ruas jahe || 1 ruas kunyit || 1 ruas kencur || 3 lembar daun salam || 1 ruas langkuas digeprek || secukupnya garam || gula merah agak banyak || secukupnya galendo || sedikit air asam jawa || secukupnya minyak goreng || secukupnya bawang goreng || ,sapi
329,ayam pedas saos tiram,1 ekor ayam || 1 ons cabe merah || 30 cabe rawit || 5 bawang merah || 2 bawang putih || 1 tomat kecil || 1 sendok saos tiram || secukupnya garam || secukupnya minyak goreng || secukupnya penyedap || 1 daun pre || ,ayam
8941,tahu kecap yummy!,2 potong tahu besar potong kecil lalu goreng dah hampir matang || 5 cabe rawit || 2 cabe merah besar iris tipis serong || 2 siung bawang putih || 6 siung bawang merah || 3 btr kemiri || 1 sdt asam jawa || 1 sdt kecap abc || lengkuas || sereh || gula || garam || penyedap  ( jamur )  || ,tahu
12147,sayur lodeh lombok(cabe rawit)tahu+tempe,"1 papan tempe || 1 papan tahu /  yg sudah dipotong || 1 / 4 udang kecil2 || 2 ruas laos di geprek || 3 lembar daun salam || sachet santan || 2 ons cabe rawit utuh ( hijau dan merah )  || secukupnya gula , garam || bumbu halus :  || 8 bawang putih || 7 bawang merah || 2 butir kemiri || 2 buah cabe merah besar || ",tempe
85,ayam asam manis,"3 iris ayam  ( potong kecil2 sesuai selera )  || secukupnya tepung serbaguna || 1 biji telur || bahan saos  :  || 2 buah cabe merah besar  ( buang biji ,  iris memanjang )  || 1 buah bawang bombay || 3 siung bawang putih || secukupnya wortel  ( iris memanjang )  || secukupnya kacang polong || 5 sdm saus tomat || 1 sdm saos sambal || secukupnya tepung maizena  ( dilarutkan )  || ",ayam
8432,telur dadar tahu,"2 butir telur ukuran sedang || 3 buah tahu putih kecil || 1 tangkai daun bawang || 1 siung bawang putih  ( kecil )  || secukupnya garam ,  merica || 2 buah cabe rawit merah  ( buang bijinya ,  iris tipis )  boleh skip || ",tahu
9916,gulai telur tempe ala2 (tnp santan),"1 buah tempe || 2 butir telur || cabe rawit secukupnya  ( diiris bulat2 )  || daun bawang secukupnya  ( dirajang )  || bumbu gulai  ( sisa beli dipasar )  || secukupnya garam halus || secukupnya penyedap rasa  ( klw saya pakai royco )  || gula  ( sedikit ,  seujung sendok )  || secukupnya air || minyak makan utk menumis || ",telur
12326,tempe mendoan pedas,1 bks tempe mendoan  ( isi 5 )  || 2 batang daun bawang || 1 buah cabe merah || 2 buah cabe rawit merah || 2 buah cabe rawit ijo || 6 sdm terigu || 2 sdm tepung beras || sesuai selera garam dan kaldu bubuk || sckpnya air || ,tempe
11307,telur dadar,"1 butir telur ayam negeri || 1 siung bawang putih || 1 tangkai daun bawang || seiris bawang bombay || wortel seukuran telunjuk ,  bersihkan dan parut diparutan keju || secukupnya penyedap || secukupnya garam || minyak untuk menggoreng || secukupnya merica || ",telur
11160,pare tumis telor saus tiram,"1 buah pare || 1 btr telor ayam kocok lepas || 2 siung bawang putih cincang halus || 1 sdm abon cabe || 1 sdm saus tiram || secukupnya daun bawang || sesuai selera gula , garam dan merica || minyak goreng || ",telur
1214,bakso ayam keju keto,sebelah dada ayam || 1 btr telur || 1 bks nutrijel plain || 1 sdt bawang putih bubuk || 1 sdm bawang goreng || sejumput himsalt || sejumput merica || sejumput masako || 1 sdt baking powder || keju kraft dipotong kotak utk isian || sedikit minyak makan || ,ayam
2902,kakap goreng + sambel mangga,1 / 2 kg ikan kakap || ketumbar  ( secukupnya )  || 2 bh bawang putih || asam jawa  ( secukupnya )  || garam || bahan sambal mangga  :  || 1 bh mangga muda || terasi  ( yang sudah di panggang )  || 20 bh cabe rawit  ( tergantung selera )  || garam  ( secukupnya )  || ,ikan
3989,tongseng kambing maknyuss,1 kg daging kambing || 1 butir santan || secukupnya kol || secukupnya daun bawang || secukupnya cabe rawit || bumbu ulek :  || 8 siung bawang merah || 7 siung bawang putih || 4 butir kemiri || secukupnya merica || secukupnya ketumbar || secukupnya kunyit || secukupnya jahe || daun salam n daun jeruk || serai || secukupnya kecap || ,kambing
13335,terriyaki tempe sosis makaroni,1 / 2 papan tempe || 3 bh sosis || segenggam makaroni ulir || 1 bh jagung manis  ( brondolin dr tongkolnya )  || 4 siung bawang putih  ( cincang )  || 1 / 2 bh bawang bombay kecil  ( iris panjang )  || 1 cm jahe  ( cincang )  || secukupnya daun bawang || 5 sdm kecap asin || 3 sdm kecap manis || 2 sdm madu || 1 / 2 sdm makan gula || secukupnya merica || secukupnya air || ,tempe
5555,oseng daging pedas manis,250 gram daging sapi / kambing || bumbu :  || 5 buah cabe rawit || 5 buah bawang merah || 3 buah bawang putih || 1 buah tomat || seiris lengkuas || 1 daun salam || secukupnya gula .  . garam .  .  . kecap dan penyedap || ,kambing
3461,pindang tenggiri asem pedas,"1 ekor ikan tenggiri besar || 3 siung bawang putih ,  haluskan || 4 siung bawang merah ,  haluskan || 10 cabe merah keriting ,  haluskan  ( kurang pedas bisa di tambah )  || 2 ruas jari kunyit ,  haluskan || terasi secukupnya ,  haluskan || 8 bh belimbing wuluh ,  potong bulat2 || secukupnya asam jawa ,  || 3 lbr daun jeruk purut || secukupnya garam ,  gula ,  lada ,  royco || secukupnya air ,  || ",ikan
11345,telur dadar gurih tanpa msg,10 butir telur ayam || 7 siung bawang putih || 4 butir kemiri || sejumput merica  ( sesuai selera )  || garam || ,telur
904,ayam balado cabe ijo,1 kg paha ayam || 10 buah cabe ijo besar || 2 - 3 cabe rawit || 2 siung bawang putih || 2 siung bawang merah || secukupnya garam || secukupnya gula pasir || lengkuas || daun salam || serai || secukupnya air || ,ayam
11387,opor kuning t3(tempe tahu telur),"bahan utama :  || 6 butir telur  ( rebus )  || 6 potong tempe  ( digoreng )  || 6 potong tahu kuning  ( digoreng )  || bumbu yg dihaluskan :  || 4 siung bawang merah || 3 siung bawang putih || 3 buah kemiri || 3 jari kunyit || bumbu tambahan :  || daun jeruk , daun salam , sereh ( geprek )  ,  lengkoas  ( geprek )  || santan ( sy pake kara sachet ekonomis )  || 1 sdm gula p || 1 sdm garam || 1 bks masako ||  #  cabe rawit merah  ( jk suka pedas )  || ",telur
11423,telur balado kentang + udang,"1 / 4 telur  ( rebus )  || 1 / 4 kentang  ( pot kotak goreng )  || 1 / 4 udang  ( buang kepala )  || bumbu  :  || 1 bh tomat uk sedang || 5 bh bawang merah || 4 bh bawang putih || cabe merah  ( sesuaikan dng bahan )  || rawit merah  ( sesuaikan dng bahan )  || bawang bombay || secukupnya garam ,  gula pasir , royco rasa ayam || air sedikit saja || minyak goreng || ",telur
2689,sambel ulek ikan tenggiri,ikan tenggiri  ( aku 100 gram lebih kurang )  || 10 bh cabe merah || 10 bh cabe rawit || 2 bh bawang merah || 2 bh tomat || secukupnya garam || jeruk nipis  ( kalo suka )  || ,ikan
9109,ikan tahu cabe hijau,ikan || tahu || gula || cabe hijau /  merah || bawang merah || bawang putih || penyedap rasa || gula || minyak || ,tahu
1825,ayam lada kecap,"1 / 4 ayam || 2 daun salam || 2 daun jeruk iris tipis || 1 saset saori lada hitam || secukupnya kecap manis  ( sesuai selera )  || lada bubuk sesuai selera  ( saya 1 / 4 sendok makan )  || 1 / 2 bawang bombay ,  iris cincang || 1 lengkuas ,  geprek || secukupnya minyak || air 1 gelas atau secukupnya || bumbu halus  :  || 8 bawang merah || 3 bawang putih || 8 - 10  cabe merah  ( sesuai selera )  || 2 cm jahe || tambahkan cabe rawit jika suka pedas || 1 sendok bumbu garam || ",ayam
12659,kering tempe pedas manis,1 papan tempe || 1 / 4 kacang tanah || 1 bungkus air asam  (  asam jawa matang + 1 / 4 gelas air )  || secukupnya gula merah   ( saya pke 1 / 4 batok )  || 3 cabe merah || 3 lmbr daun jeruk  ( iris kecil )  || masako || bumbu halus :  || 5 siung bawang merah || 2 siung bawang putih || 5 cabe rawit  ( optional )  || lengkuas || 1 sdt gula pasir || 1 / 4 sdt garam || ,tempe
5413,nasi kebuli magic com,4 cup takar beras  ( beras 1 / 2 pera )  || 5 cup takar air || 1 / 4 kg daging kambing potong kecil2 || 1 pc santan bubuk /  kara segitiga || 1 pc bawang bombay || bawang goreng untuk taburan || 10 pc bawang merah || 4 pc bawang putih || 1 / 2 ruas jari telunjuk jahe || 1 sdm lada || 1 sdm ketumbar || 3 pc kapulaga || biji pala sedikit || bunga lawang sedikit || sedikit kayu manis || 1 / 2 sdm jintan || 3 lbr daun jeruk || 5 lbr daun salam || 2 btg sereh di geprek || 2 sdm margarin || ,kambing
2213,ikan kembung sambal balado kemangi,3 ekor ikan kembung || 12 siung bawang merah || 6 siung bawang putih || 15 cabai merah keriting || 7 cabai rawit oren || tomat || gula pasir || garam || penyedap rasa  ( aku pake masako )  || secukupnya air || daun kemangi || daun jeruk || ,ikan
5534,tongseng pacitan,1 1 / 5 kg daging kambing  /  sapi potong dadu || 15 siung bawang merah || 10 siung bawang putih || 10 - 15 biji cabe setan || 5 biji tomat ukuran sedang || 3 bungkus merica bubuk || 10 cm laos || secukupnya garam || 1 biji gula jawa || secukupnya kecap || secukupnya air || ,kambing
4023,asem-asem kambing anti gagal,1 / 2 kg daging kambing  ( sapi juga boleh )  || 8 bawang merah || 9 bawang putih || 10 buah buncis || 1 buah wortel ukuran sedang || 3 buah tomat ukuran sedang || 1 buah asam jawa || 20 buah cabai hijau || 3 - 4 buah cabai biasa || 3 lembar daun salam || 1 ruas laos || kecap  ( bangoooo kalo saya )  || gula merah  ( dikit ajaa separuh lingkaran kecil )  || garam  ( separuh depan sdm )  || ,kambing
9491,tumis jagung tahu orenji,2 buah jagung || 1 buah wortel || 2 buah tahu || 6 bawang merah || 3 bawang putih || 5 cabai rawit || bawang bombay || garam & gula || lada bubuk || saus tiram || ,tahu
3216,pan-fried lemon butter gindara 🐟,2 pcs ikan gindara || 1 / 2 lemon || 20 gram butter || secukupnya tepung maizena || secukupnya garam || secukupnya minyak goreng || ,ikan
525,ayam pedas kemangi,"1 / 2 ekor ayam || 5 btg kemangi || 7 siung bawang merah || 3 siung bawang putih || 1 buah tomat gede || 1 bungkus terasi || 2 cabe merah gede || 100 cabe rawit  /  suka - suka || royco ,  gula merah ,  gula putih ,  garam || secukupnya minyak || ",ayam
11835,tempe tahu bacem,1 papan tempe || 3 potong tahu || bumbu halus :  || 8 siung bawang merah || 5 siung bawang putih || 1 sdt ketumbar || 2 keping asam || gula merah || garam || kecap manis || lengkuas geprek || kaldu bubuk || ,tempe
1864,ayam kecap bumbu jangkep,1 / 2 kg ayam || 2 lembar daun salam || 1 batang sereh || 5 sdm kecap manis || secukupnya gula merah ||  💞  bumbu halus  💞  || 3 butir bawang merah || 4 butir bawang putih || 2 butir kemiri || 5 cm kunyit || 2 cm jahe || 1 sdt merica || 1 / 2 sdt ketumbar || 1 sdt garam atau sesuai selera || ,ayam
10109,rolade tahu telur mi,10 buah tahu putih || 2 butir telur untuk adonan || 1 butir telur dikocok untuk pencelup || 3 siung bawang putih || sepucuk sdt mrica butiran || 100 gr mbihun jagung || selera penyedap || secukupnya garam || secukupnya minyak goreng || secukupnya daun pisang untuk mengukus || 3 buah wortel || 2 btg daun bawang || ,telur
6594,soto bening daging sapi,1 / 4 daging sapi || 1 ons gajih sapi untuk kaldu || 1 ruas lengkuas geprek || 4 buah sereh geprek || 5 buah daun salam || 7 buah daun jeruk || 1 buah jeruk nipis belah menjadi 4 bagian || 2 buah daun sledri || 1 batang daun bawang || kaldu sapi || 1  bawang goreng untuk taburan || 1 buah tomat belah menjadi 4 || bumbu halus  :  || 8 siung bawang merah || 4 siung bawang putih || 1 ruas jahe || 4 buah kemiri || 1 / 2 sdt ketumbar || pelengkap  :  || kubis diiris memanjang || wortel iris memanjang || bihun / mi jagung || ,sapi
11779,tempe jeletot,1 batang tempe || bahan sambel :  || 1 ons cabe rawit || 1 buah tomat || 2 siung bawang merah || 2 siung bawang putih || secukupnya garam / sasa || bahan tepung :  || 100 grm tepung terigu || 1 sdt lada bubuk || 1 bungkus royco || secukupnya air || minyak utk menggoreng || ,tempe
11027,roti telur bakar,4 lembar roti   ( atau sesuai selera )  || secukupnya telur || mentega  ( olesan )  || ,telur
2538,ikan bandeng bumbu bali.... by. dapoer linggar,1 ekor ikan bandeng potong 4 lalu goreng kering || 4 sdm santen || 400 ml air || 2 lembar daun salam robek 2 || 1 batang sereh geprek || garam || gula || 1 batang daun bawang potong seukuran korek api || minyak goreng || bumbu halus  ( saya blender )  || 7 buah bawang merah || 4 buah bawang putih || 6 buah cabe merah || 2 cm kunyit || 1 cm lengkuas || ,ikan
5103,marak daging kambing,daging kambing || 10 siung bawang putih || 1 siung bawang bombay yg besar || 1 sdt lada || 1 sdt ketumbar || 5 cm jahe || 5 cm kunyit || cengkeh || kapulaga || 3 btg kayu manis || ,kambing
10403,telor ceplok tauco,"6 btr telor || 6 bh bawang merah ,  iris || 3 bh bawang putih ,  iris || secukupnya cabe keriting hijau iris  ,  || secukupnya cabe rawit  iris ,  || 1 bh tomat ,  iris || 2 sdm tauco || secukupnya kecap manis ,  kecap asin ,  gula dan air || ",telur
252,opor ayam,1 kg ayam || 1 bks santan kara || salam || laos || daun jeruk || sereh || kaldu bubuk || gula dan garam || merica bubuk || air || bumbu halus  :  || bawang merah || bawang putih || jahe || kunir || ketumbar || kemiri || ,ayam
6955,sapi lada hitam,300 gr daging sapi yg sudah direbus sampai empuk || 2 butir kentang uk kecil || 1 sdm merica hitam butiran || 1 butir bawang bombay kecil iris panjang || 1 tangkai daun bw potong serong || 2 sdm saos tiram || 2 sdm kc manis || 100 ml kaldu sapi bekas rebusan daging || ,sapi
13492,"kering tempe,teri,kacang",1 papan tempe  ( ukuran 20 x20 cm )  iris tipis . goreng kering || secukupnya kacang tanah  ( goreng )  || secukupnya ikan teri  ( goreng )  || bumbu halus  :  || 10 butir bawang merah || 5 butir bawang putih || sesuai selera cabe rawit || bumbu pelengkap  :  || daun jeruk || gula merah || garam || sedikit terasi || ,tempe
436,ayam bumbu rajang,1 ekor ayam kampung  ( sudah dipotong - potong )  || bumbu halus  :  || 3 siung bawang putih || 10 siung bawang merah || 1 ruas kunyit || 1 ruas jahe || 5 biji kemiri || 4 bh cabe keriting || 2 bh cabe rawit || merica  ( secukupnya )  || lada bubuk  ( secukupnya )  || garam  ( secukupnya )  || mecin  ( secukupnya )  || gula  ( secukupnya )  || bumbu tambahan  :  || 1 batang sereh  ( geprek )  || 3 lembar daun salam || 1 ruas lengkuas  ( geprek )  || lain - lain  :  || air || minyak goreng || ,ayam
12284,sambal udang petai tempe ada di dapur mamah cantik,1 / 2 kg udang || 3 papan petai || 1 papan tempe || 1 bungkus cabe giling || 3 siung bawang putih || 6 siung bawang merah || 1 buah tomat || secukupnya minyak makan || secukupnya bumbu penyedap || ,tempe
9280,bakwan tahu,"1 batang daun bawang ,  cuci ,  potong halus || 1 batang daun seledri ,  cuci ,  potong halus || 100 gr tepung terigu || 200 gr tepung tempura mix || 1 bks royco ayam || secukupnya air || secukupnya minyak goreng || 2 btr telur || 1 / 2 sdt merica || 10 buah tahu putih || ",tahu
1891,rendang ayam wini,1 ekor ayam ukuran kecil utuh  ( potong 8 bagian )  || 1 bungkus bumbun rendang indofood || 200 ml santan kental cair || 3 gelas air putih || 1 / 4 bungkus royco ayam || secukupnya kecap manis || beberapa cabai utuh || minyak goreng secukupnya ( untuk menumis )  || ,ayam
3367,tongkol sambal,"3 potong ikan tongkol || 10 buah cabai rawit || 5 buah cabai keriting || 5 bawang merah || 3 bawang putih || secukupnya daun bawang || secukupnya minyak goreng || bumbu penyedap  ( garam ,  royco ,  gula pasir putih )  || ",ikan
8975,tahu bejek / tumis tahu pedas sederhana dan nikmat,5 tahu kuning || 4 bawang merah || 2 bawang putih || 1 tangkai daun bawang || 3 cabe rawit  ( sesuai selera )  || 1 cabe merah || ,tahu
9048,tahu mercon jamur tiram,20 tahu pong / kulit  ( sobek sisi nya )  || 1 bgks jamur tiram  ( suwir2 )  || 1 bh wortel  ( potong dadu )  || 2 bh daun bawang || 1 bgks tepung serba guna  ( sy pake sasa )  || bumbu halus  :  || 1 sdt merica || 3 bh bawang putih || 2 bh cabe rawit merah  ( bisa ditambah )  || 1 / 2 sdt gula pasir || secukupnya garam || secukupnya kaldu bubuk || ,tahu
11563,telur dadar eks celupan nugget pisang,"2 butir telur yang telah dikocok lepas || secukupnya cabe rawit merah dan hijau ,  dicampur || 2 siung bawang merah || 1 biji bawang putih || 1 tangkai seledri || secukupnya keju cheddar || secukupnya garam || sedikit minyak goreng || ",telur
3175,nila goreng kering gurih,1 / 2 kg ikan nila || 2 sdm jeruk nipis || bumbu halus  :  || 4 siung bawang putih || 2 sdt ketumbar butir || 1 cm kunyit || 2 sdt garam || ,ikan
1344,ayam goreng mentega simple,500 gram ayam || 2 siung bawang putih || 1 siung bawang bombay || 1 sdm mentega || 1 bungkus sa * ri rasa saus mentega || 1 buah jeruk nipis || sedikit garam || sedikit lada || sedikit air || ,ayam
7497,rawon sapi,500 gram daging sapi || bumbu halus :  || 5 bh bawang merah || 5 bh bawang putih || 3 butir kemiri || 1 sdt lada || 1 sdt ketumbar || 1 ruas jahe || 1 ruas lengkuas || 3 bh kluwek || secukupnya garam || 2 lembar daun jeruk || 1 lembar daun salam || 2 btg sereh || secukupnya garam || pelengkap || toauge pendek || bawang goreng  ( d foto lupa d masukan )  || daun bawang || sambal || ,sapi
8259,"tumis buncis, sosis, tahu dan tempe ❤️ simple","1 / 4 buncis  ( potong serong memanjang )  || 4 buah sosis  ( potong sesuai selera )  || tempe secukupnya  ( potong dadu ,  goreng setengah matang )  || tahu secukupnya  ( potong dadu ,  goreng setengah matang )  || 4 siung bawang merah  ( iris tipis )  || 2 siung bawang putih  ( iris tipis )  || 6 buah cabai merah keriting  ( potong serong memanjang )  || 3 buah cabai rawit merah  ( potong serong memanjang )  || secukupnya garam || secukupnya penyedap rasa || saori saos tiram || secukupnya air || ",tahu
8815,tahu kecap kental pedas,5 buah tahu || 4 sdm kecap manis || 4 siung bawang merah || 1 siung bawang putih || 4 buah cabe merah kriting || 2 buah cabe lombok || 1 sdt tepung maizena || 1 sdt gula pasir || 1 sdt penyedap rasa || sejumput garam || ,tahu
10815,seblak telor sosis makaroni,2 genggam kerupuk ( direbus dalam air mendidih )  || 2 plastik kecil - kecil makaroni bentuk pipa ( direbus jg )  || 1 ruas kencur || 2 siung bawang merah || 2 siung bawang putih || 2 cabe merah ( sesuai selera )  || 2 kemiri || 2 sosis || 1 telor || air || ,telur
8856,bakso tahu ikan,"250 gr daging ikan tenggiri halus || 100 gr daging ayam giling || 50 gr tepung tapioka || 100 gr labu siam kukus ,  haluskan || 2 bawang putih ,  cincang halus || 2 putih telur  ( 60 ml )  || 15 gr garam || 10 gr gula pasir || 1 sdm minyak wijen || 1 sdm saus tiram || 1 sdm kecap asin || 1 / 2 sdt meruca bubuk || 1 wortel parut || 1 btg daun bw iris || 1 / 2 bawang bombay cincang || 6 tahu ukuran besar || 15 kulit lumpia || ",tahu
5983,sop daging sapi (weekend special),1 / 4 daging sapi || 2 wortel || 2 kentang || 1 buah tomat || 5 siung bawang merah  ( iris )  || 2 siung bawang putih  ( iris and geprek )  || 1 batang saledri  &  daun bawang || 1 / 2 potong kayu manis || 3 buah cengkeh || 1 / 4 biji pala  ( bubuk juga gpp )  || secukupnya lada putih || secukupnya garam || secukupnya kaldu sapi || secukupnya gula || ,sapi
7882,sawi tahu kuah sederhana,2 ikat sawi hijau || 3 buah tahu putih || 3 gelas air || bumbu  :  || 7 buah cabe rawit || 2 siung bawang putih || 4 siung bawang merah || 2 buah tomat || 1 / 2 sendok garam halus || 1 / 2 bungkus penyedap rasa || secukupnya minyak goreng || ,tahu
7883,toge goreng tahu,1 / 2 kg toge || 5 buah tahu kuning || 2 kantong tauco seperti es mambo || 1 potong oncom || 1 batang daun bawang || bumbu || 5 cabe merah || 10 cabe rawit merah || 20 cabe rawit hijau  ( tidak diulek )  || 5 siung bawang merah || 3 siung bawang putih || 3 lembar 2 salam || garam || penyedap rasa  ( saya ga pakai )  || gula merah  ( sesuai selera )  || gula putih  ( sesuai selera )  || secukupnya kecap bango || minyak goreng untuk menumis || 700 ml air || ,tahu
11926,tumis pare tempe,"4 bh pare || 1 / 2 papan tempe ,  iris bentuk korek api halus || 1 sdm garam halus || bumbu  :  || cabe sesuai selera ,  pedas lebih mantap bun || 5 siung bawang merah || 2 siung bawang putih || 2 lbr daun salam || 1 ruas lengkuas geprek || sedikit air || secukupnya minyak || secukupnya masako / royco || ",tempe
4836,tongseng kambing,"500 gram daging kambing ,  potong dadu || 100 gram kol ,  buang tulang daunnya ,  iris kasar || 10 siung bawang merah ,  iris tipis || 7 siung bawang putih ,  geprek kemudian cincang halus || 1 sdt lada ,  haluskan || 5 buah tomat muda yg masih hijau ,  masing2 belah 4 || 2 tangkai sereh ,  geprek || 2 lembar daun salam || 5 lembar daun jeruk || 65 ml santan kara || 3 sdm kecap manis || 2 sdt garam || 1 sdm gula pasir || 700 ml air || 15 buah cabai rawit utuh  ( jika suka pedas boleh diiris )  || ",kambing
2219,mujair pedas manis,1 ekor ikan mujair besar || bawang bombay || bawang putih iris cacah || 3 bh cabe rawit merah || saus sambel || saus tomat || 3 lbr daun jeruk || ,ikan
8316,bola tahu ayam jamur,100 gr ayam giling || 3 buah tahu cina || 1 bungkus jamur enoki  ( jamur apa aja boleh )  || 1 putih telur || 3 buah cabe merah iris serong tipis || 1 batang daun bawang || 3 sdm saus tiram || secukupnya kaldu bubuk || secukupnya bawang putih bubuk || secukupnya lada bubuk || secukupnya garam || secukupnya minyak || ,tahu
9036,pepes tahu jamur tiram,5 buah tahu || secukupnya jamur tiram || 3 siung bawang merah || 2 siung bawang putih || 1 / 4 bawang bombay || 2 buah cabe rawit || 4 buah cabe merah || secukupnya daun kemangi || 1 / 2 tomat hijau || secukupnya lada || secukupnya garam || secukupnya penyedap rasa || daun pisang || 1 buah telur  ( optional )  || ,tahu
204,gulai ayam,"1 / 2 kg ayam cuci bersih || 1 kentang potong dadu || 1 tomat sedang potong dadu || 1 wortel sedang potong spt bunga || bumbu halus  :  || 5 bawang merah || 3  bawang putih || 3  kemiri || 1  ruas  jahe || 1  ruas  kunyit || secukupnya  garam || 1 sdt ketumbar ,  || 2 sereh geprek || 1 ruas laos ,  geprek || daun salam dan daun jeruk || secukupnya air || gula garam dan penyedap rasa || 1 santan kara ukuran sedang || ",ayam
1356,opor ayam,1 / 2 kg ayam  ( potong 6 )  || 2 buah tahu  ( digoreng dulu )  || 2 lembar daun salam || 2 lembar daun jeruk || 1 sere || lengkuas digeprek || jahe digeprek || gula merah || 60 ml santan kara || gula || garam || penyedap rasa || air || bumbu halus  :  || 8 biji bawang merah || 5 biji bawang putih || 1 / 2 sdt ketumbar || 1 / 2 sdt merica || 4 butir kemiri  ( digoreng dulu )  || 4 cm kunyit bakar || jinten || ,ayam
6460,perkedel kentang goreng corned beef,1 kg kentang || 1 corned beef yang sachet || bumbu nya :  || 5 siung bawang putih || 5 siung bawang merah || secukupnya garam || 1 sachet penyedap rasa  ( royco )  || 2 batang daun bawang cincang kasar || 2 batang daun seledri cincang kasar || 2 telur ayam || ,sapi
2516,pepes kembung teflon,"3 ekor ikan kembung || 1 batang sereh ,  geprek || 1 / 2 buah tomat ,  potong ||  🍃 bumbu halus 🍃   :  || 7 buah cabe merah || 5 siung bawang merah || 3 siung bawang putih || 1 buah kemiri || 2 biji asam || 1 ruas kecil jahe || 1 ruas kecil lengkuas || 1 ruas kunyit || 1 lembar daun jeruk || secukupnya garam dan gula || ",ikan
9141,tahu fantasi,10 ptong tahu ( me tahu yg kuning )  || 1 bh wortel  ( di serut )  || 2 keping bihun  ( rndam lalu di potong2 )  || 2 btr telur ayam || 1 sdt bubuk bawang putih || secukupnya garam || 1 / 2 sdt lada bubuk || secukupnya masako || secukupnya daun sledri || bahan celupanya || 2 btir telur || ,tahu
